469,Queen Elizabeth Hospital,Erith,Go-Ahead London,Extended from Bexleyheath Shopping Centre to Queen Elizabeth Hospital on 24 January 2009.
470,Colliers Wood tube station,Sutton railway station,Go-Ahead London,
472,North Greenwich bus station,Abbey Wood railway station,Stagecoach London,24-hour operation.
473,Stratford bus station,North Woolwich,Go-Ahead London,
474,Canning Town,Manor Park railway station,Stagecoach London,24-hour operation.
476,Northumberland Park railway station,London King's Cross railway station,Go-Ahead London,
481,West Middlesex University Hospital,Kingston upon Thames,Metroline,Temporarily withdrawn between Cromwell Road bus station and Kingston upon Thames until summer 2024 due to Cromwell Road bus station being closed for redevelopment works.
481D,Whitton,Kingston upon Thames,Transport UK London Bus,Schoolday journeys only.Temporarily withdrawn between Cromwell Road bus station and Kingston upon Thames until summer 2024 due to Cromwell Road bus station being closed for redevelopment works.
482,Southall Town Hall,Heathrow Terminal 5,Transport UK London Bus,
483,Harrow bus station,Windmill Park,Metroline,
484,Camberwell Green,Lewisham station,Go-Ahead London,
485,Southside Wandsworth,Castelnau,Go-Ahead London,Temporarily withdrawn between Castelnau and Hammersmith bus station until further notice due to the closure of Hammersmith Bridge.
486,Bexleyheath Shopping Centre,North Greenwich bus station,Go-Ahead London,24-hour operation.
487,Willesden Junction station,South Harrow tube station,Metroline,
488,Bromley-by-Bow,Dalston,Stagecoach London,
490,Pools on the Park,Heathrow Terminal 5,Transport UK London Bus,
491,North Middlesex University Hospital,Waltham Cross,Metroline,
492,Bluewater Shopping Centre,Sidcup railway station,Arriva London,
493,St George's Hospital,Richmond bus station,Go-Ahead London,
496,Queen's Hospital,Harold Wood,Stagecoach London,
498,Queen's Hospital,Brentwood,Stagecoach London,Introduced on 26 December 2005.
499,Gallows Corner,loop service via Heath Park Estate,Stagecoach London,
Route,Start,End,Operator,Notes
601,Thamesmead,Wilmington Academy,Go-Ahead London,
602,Thamesmead,Townley Grammar School,Stagecoach London,
603,Swiss Cottage tube station,Muswell Hill,Metroline,
605,Burnt Oak tube station,Totteridge & Whetstone tube station,Sullivan Buses,
606,Queensbury tube station,The Totteridge Academy,Sullivan Buses,
608,Gallows Corner,Shenfield High School,Go-Ahead London,
612,Selsdon,Wallington County Grammar School,Arriva London,
613,Tolworth railway station,Glenthorne High School,RATP Dev Transit London,
616,Winchmore Hill,Edmonton Green bus station,Stagecoach London,
617,Turnpike Lane bus station,Turkey Street railway station,Sullivan Buses,
621,Lewisham station,Stationers' Crown Woods Academy,Stagecoach London,
624,Grove Park railway station,Stationers' Crown Woods AcademyWelling (1 bus eastbound only),Go-Ahead London,
625,Plumstead Common,Chislehurst,Go-Ahead London,
626,Finchley Central tube station,Dame Alice Owen's School,Metroline,
627,Wallington High School for Girls,Worcester Park railway station,Arriva London,
628,JFS,Southgate tube station,Uno,Runs one way to Southgate tube station only.
629,Turkey Street railway station,Wood Green bus garage,Sullivan Buses,
631,Golders Green tube station,Henrietta Barnett School,Metroline,
632,Grahame Park,Kilburn Park tube station,Metroline,
633,Pollards Hill,Coulsdon South railway station,Go-Ahead London,Transferred from Quality Line to Go-Ahead London on 3 April 2021.
634,Muswell Hill,Chipping Barnet,Metroline,
635,St Paul's College,Hounslow bus station,Metroline,
638,Coney Hall,Kemnal Technology College,Stagecoach London,
639,Roehampton,St John Bosco College,Transport UK London Bus,Transferred from Go-Ahead London to London United on 5 June 2021
640,South Harrow tube station,Bentley Wood High School,Sullivan Buses,
642,West Hendon,London Academy,Metroline,
643,Brent Cross bus station,Christ's College Finchley,Uno,
645,Purley Cross,Waddon,Arriva London,Introduced on 4 January 2022 to replace route 405D.
646,Noak Hill,Cranham,Go-Ahead London,
649,Romford bus garage,The Campion School,Go-Ahead London,
650,Romford bus garage,Emerson Park Academy,Go-Ahead London,
651,Romford railway station,Chase Cross,Go-Ahead London,
652,Rainham,Upminster station,Go-Ahead London,
653,JFS,Muswell Hill,Uno,
654,Addington Village Interchange,Ramsden,Go-Ahead London,
655,Mitcham,Raynes Park High School,RATP Dev Transit London,
656,Gallows Corner,Emerson Park Academy,Go-Ahead London,
657,Salisbury Hall,Bancroft's School,Go-Ahead London,
658,Woolwich Arsenal station,Stationers' Crown Woods Academy,Go-Ahead London,
660,Stationers' Crown Woods Academy,Catford bus garage,Stagecoach London,
661,Chislehurst,Petts Wood railway station,Stagecoach London,
662,Surbiton railway station,Holy Cross School,RATP Dev Transit London,
663,Thornton Heath railway station,Harris Academy Purley,Go-Ahead London,
664,New Addington,Charles Darwin School,Go-Ahead London,
665,Surbiton,Holy Cross School,RATP Dev Transit London,
667,Ilford,West Hatch High School,Stagecoach London,
669,Thamesmead,Cleeve Park School,Stagecoach London,
670,Roehampton,St John Bosco College,Transport UK London Bus,Transferred from Go-Ahead London to London United on 5 June 2021
671,Chessington South railway station,Tiffin Girls' School,Transport UK London Bus,
672,Thamesmead,Beresford Square,Stagecoach London,
673,The Warren School,Beckton bus station,Stagecoach London,Runs one way to Beckton bus station only.
674,Romford railway station,Harold Hill,Stagecoach London,
675,St. James Street railway station,Woodbridge High School,Arriva London,
677,Ilford,Debden,Go-Ahead London,
678,Beckton bus station,Stratford bus station,Stagecoach London,
679,Goodmayes,Woodford Wells,Go-Ahead London,
681,Hounslow bus station,Teddington School,RATP Dev Transit London,
683,Friern Barnet,JFS,Uno,
684,Orpington railway station,Charles Darwin School,Stagecoach London,
685,Warlingham School,Selsdon,Arriva London,Runs one way to Selsdon only.
686,Romford railway station,St Edward's Church of England Academy,Go-Ahead London,Afternoon journeys from St Edward's Church of England Academy terminate at Harold Hill.
687,Dagenham Park Church of England School,Barking station,Go-Ahead London,
688,Southgate tube station,JFS,Uno,
689,West Croydon bus station,Monks Orchard,Arriva London,
690,Burntwood School,Norwood bus garage,Go-Ahead London,
696,Hayes,Bishop Ramsey School,RATP Dev Transit London,
697,The Douay Martyrs School,Hayes End,RATP Dev Transit London,Morning journeys from Hayes End terminate at Ickenham tube station.
698,The Douay Martyrs School,West Drayton,RATP Dev Transit London,Morning journeys from West Drayton terminate at Ickenham tube station.
699,Winchmore Hill,Dame Alice Owen's School,Uno,
Route,Start,End,Letter code,Notes
A10,Uxbridge tube station,Heathrow Central bus station,Heathrow Airport,
B11,Bexleyheath bus garage,South Thamesmead,Bexleyheath,
B12,Erith,Joyden's Wood,Bexleyheath,Extended from Bexleyheath Shopping Centre to Joyden's Wood on 24 January 2009.
B13,Bexleyheath Shopping Centre,New Eltham railway station,Bexleyheath,
B14,Bexleyheath Shopping Centre,Orpington railway station,Bexleyheath,
B15,Bexleyheath Shopping Centre,Horn Park,Bexleyheath,
B16,Bexleyheath bus garage,Kidbrooke,Bexleyheath,
C1,London Victoria station,White City bus station,Central London,
C3,Clapham Junction railway station,Earl's Court,Chelsea,
C10,London Victoria station,Canada Water bus station,Central London,
C11,Archway tube station,Brent Cross bus station,Cricklewood,
D3,Bethnal Green,Leamouth,London Docklands,
D6,Ash Grove bus garage,Cubitt Town,London Docklands,
D7,Mile End tube station,All Saints Church,London Docklands,
D8,Cubitt Town,Stratford bus station,London Docklands,
E1,Ealing Broadway station,Greenford Broadway,Ealing,
E2,Brentford,Greenford Broadway,Ealing,
E3,Chiswick,Greenford Broadway,Ealing,
E5,Perivale,Southall,Dormers Wells,
E6,Bulls Bridge,Greenford Broadway,Yeading,Temporarily withdrawn between Greenford station and Greenford Broadway until 20:00 on 17 August 2024 due to gas works on Oldfield Lane North.
E7,Ealing Broadway station,Ruislip tube station,Ealing,Runs via Wood Lane in Ruislip during shopping hours.
E8,Ealing Broadway station,Hounslow,Ealing,
E9,Ealing Broadway station,Yeading,Ealing,
E10,Ealing Broadway station,Northolt,Ealing,
E11,Ealing Common,Greenford Broadway,Ealing,
G1,Shaftesbury Park Estate,Norbury,St George's Hospital,
H2,Golders Green tube station,Circular via Hampstead Garden Suburb,Hampstead Garden Suburb,
H3,East Finchley,Golders Green tube station,Hampstead Garden Suburb,
H9,Northwick Park Hospital (circular),anticlockwise via Kenton station,Harrow,
H10,Northwick Park Hospital (circular),clockwise via South Harrow tube station,Harrow,
H11,Harrow bus station,Mount Vernon Hospital,Harrow,
H12,South Harrow tube station,Stanmore tube station,Hatch End,
H13,Northwood Hills,Ruislip Lido,Ruislip,
H14,Northwick Park Hospital,Hatch End,Harrow,
H17,Harrow bus station,Wembley Central station,Harrow,
H18,Harrow bus station (circular),clockwise via North Harrow,Harrow,
H19,Harrow bus station (circular),anticlockwise via Kenton station,Harrow,Route terminates at St George's Shopping Centre instead of Harrow bus station.
H20,Hounslow,Ivybridge,Hounslow,
H22,Hounslow,West Middlesex University Hospital,Hounslow,
H25,Hanworth,Hatton Cross tube station,Hatton,
H26,Feltham,Hatton Cross tube station,Hatton,
H28,Bulls Bridge,Osterley,Hounslow,
H32,Southall Town Hall,Hounslow bus station,Hounslow,
H37,Richmond,Hounslow,Hounslow,
H91,Hammersmith bus station,Hounslow West tube station,Hounslow,
H98,Hayes End,Hounslow bus station,Hounslow,
K1,Kingston upon Thames,New Malden railway station,Kingston upon Thames,Temporarily withdrawn between Cromwell Road bus station and Kingston upon Thames until summer 2024 due to Cromwell Road bus station being closed for redevelopment works.
K2,Kingston Hospital,Hook,Kingston upon Thames,
K3,Roehampton Vale,Esher,Kingston upon Thames,
K4,Mansfield Park Estate,Kingston Hospital,Kingston upon Thames,
K5,Morden tube station,Ham,Kingston upon Thames,
P4,Lewisham station,Brixton tube station,Dulwich,
P5,Elephant and Castle,Patmore Estate,Clapham,
P12,Surrey Quays Shopping Centre,Brockley Rise,Peckham,
P13,New Cross,Streatham railway station,Peckham,
R1,Green Street Green,St Paul's Cray,Orpington,
R2,Orpington,Biggin Hill Valley,Orpington,
R3,Princess Royal University Hospital,Orpington railway station,Orpington,
R4,Princess Royal University Hospital,Paul's Cray Hill,Orpington,
R5,Orpington railway station (circular),clockwise via Knockholt,Orpington,
R6,Orpington railway station,St Mary Cray railway station,Orpington,"To be withdrawn on 29 March 2025, being replaced by a reroute of route B14."
R7,Chelsfield Village,Chislehurst,Orpington,
R8,Orpington railway station,Biggin Hill,Orpington,
R9,Orpington railway station,Ramsden,Orpington,
R10,Orpington railway station (circular),anticlockwise via Cudham,Orpington,
R11,Green Street Green,Queen Mary's Hospital,Orpington,
R68,Hampton Court railway station,Kew,Richmond,
R70,Richmond,Hampton,Richmond,
S1,Lavender Fields,Banstead,Sutton,
S2,St Helier railway station,Epsom,Sutton,
S3,Belmont railway station,Malden Manor railway station,Sutton,
S4,Sutton,Waddon Marsh tram stop,Sutton,
U1,Ruislip tube station,West Drayton railway station,Uxbridge,
U2,Uxbridge tube station,Brunel University,Uxbridge,Runs via Hillingdon tube station.
U3,Uxbridge tube station,Heathrow Central bus station,Uxbridge,
U4,Uxbridge tube station,Hayes,Uxbridge,
U5,Uxbridge,Hayes,Uxbridge,
U7,Uxbridge tube station,Hayes,Uxbridge,
U9,Uxbridge tube station,Harefield Hospital,Uxbridge,
U10,Uxbridge tube station,Ruislip,Uxbridge,
W3,Finsbury Park bus station,Northumberland Park railway station,Wood Green,
W4,Oakthorpe Park,Tottenham Hale,West Green,
W5,Archway tube station,Harringay,Crouch End,
W6,Southgate tube station,Edmonton Green bus station,Palmers Green,
W7,Finsbury Park bus station,Muswell Hill,Crouch End,
W8,Lee Valley Leisure Complex,Chase Farm Hospital,Enfield Town,
W9,Southgate tube station,Chase Farm Hospital,Enfield Town,
W11,Walthamstow bus station,Chingford Hall Estate,Walthamstow,
W12,Walthamstow,Wanstead,Walthamstow,
W13,Leytonstone bus station,Woodford Wells,Woodford,
W14,Leyton Mills,Woodford Bridge,Woodford,
W15,Hackney Town Hall,Higham Hill,Walthamstow,
W16,Leytonstone bus station,Chingford Mount,Highams Park,
W19,Walthamstow,Ilford,Walthamstow,
EL1,Barking Riverside,Ilford,,24-hour operation.
EL2,Becontree Heath,Dagenham Dock,,
EL3,Barking Riverside,Little Heath,,Originally numbered 387 until 18 February 2017.
533,Hammersmith bus station,loop service via Castelnau,Go-Ahead London,"A temporary route replacing routes 33, 72, 209 and 485 until further notice due to the closure of Hammersmith Bridge."
549,Loughton tube station,South Woodford tube station,Sullivan Buses,Frequency reduced from a bus every 67 minutes to a bus every 90 minutes on 12 March 2022.
969,Whitton,Roehampton Vale,Transport UK London Bus,Operates one return journey on Tuesdays and Fridays only.
SL1,North Finchley bus station,Walthamstow bus station,Arriva London,
SL2,Walthamstow bus station,North Woolwich,Arriva London,
SL3,Thamesmead,Bromley North railway station,Stagecoach London,
SL5,Bromley North railway station,Croydon,Arriva London,
SL6,Russell Square,West Croydon bus station,Go-Ahead London,"Runs non-stop between Waterloo and West Norwood.Runs only on weekdays during peak hours only.Runs towards Russell Square in the morning peak, and runs towards West Croydon bus station in the evening peak."
SL7,West Croydon bus station,Heathrow Central bus station,Go-Ahead London,
SL8,Uxbridge tube station,White City bus station,Metroline,
SL9,Heathrow Central bus station,Harrow bus station,RATP Dev Transit London,
SL10,Harrow bus station,North Finchley bus station,RATP Dev Transit London,
N1,Tottenham Court Road station,,,
N2,Marylebone station,,,
N3,Oxford Circus,,,
N5,Trafalgar Square,,,
N7,Oxford Circus,,,
N8,Oxford Circus,,,
N9,Aldwych,,,
N11,Whitehall,,,
N15,Oxford Circus,,,
N18,Trafalgar Square,,,
N19,Finsbury Park bus station,,,
N20,Trafalgar Square,,,
N21,Trafalgar Square,,,
N22,Oxford Circus,,,
N25,Oxford Circus,,,
N26,London Victoria station,,,
N27,Chalk Farm,,,
N28,Southside Wandsworth,,,
N29,Trafalgar Square,,,
N31,Clapham Junction railway station,,,
N32,London Victoria station,,,
N33,Hammersmith bus station,,,
N38,Victoria bus station,,,
N41,Trafalgar Square,,,
N44,Aldwych,,,
N53,Whitehall,,,
N55,Oxford Circus,,,
N63,London King's Cross railway station,,,
N65,Ealing Broadway station,,,
N68,Tottenham Court Road station,,,
N72,Roehampton,,,
N73,Oxford Circus,,,
N74,Baker Street tube station,,,
N83,Golders Green tube station,,,
N86,Stratford bus station,,,
N87,Aldwych,,,
N89,Trafalgar Square,,,
N91,Trafalgar Square,,,
N97,Trafalgar Square,,,
N98,Red Lion Square,,,
N109,Oxford Circus,,,
N113,Trafalgar Square,,,
N133,Liverpool Street bus station,,,
N136,Oxford Circus,,,
N137,Oxford Circus,,,
N140,Heathrow Central bus station,,,
N155,Aldwych,,,
N171,Tottenham Court Road station,,,
N199,Trafalgar Square,,,
N205,Paddington,,,
N207,Bloomsbury Square,,,
N242,Tottenham Court Road station,,,
N250,Fairfield Halls,,,
N253,Tottenham Court Road station,,,
N266,Hammersmith bus station,,,
N271,Tally Ho Corner,,,
N277,Islington,,,
N279,Trafalgar Square,,,
N343,Trafalgar Square,,,
N381,Whitehall,,,
N550,Trafalgar Square,,,
N551,Trafalgar Square,,,
